Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
3.0;Неизвестно;15178080;Москва;ЖК «Римского-Корсакова 11»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
2.0;Неизвестно;8382000;Москва;ЖК «Михайловский парк»;1.0;Нет;Монолитный;2.0;Отсутсвует;0.5
1.0;Неизвестно;6256720;Москва;ЖК «Мякинино парк»;2.0;Нет;Панельный;0.0;Отсутсвует;1.25
2.0;Неизвестно;5773000;Одинцовский;ЖК «Одинцово-1»;2.0;Нет;Панельный;0.0;Отсутсвует;5.0
1.0;Неизвестно;8106960;Красногорский;ЖК «Митино парк»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;9484080;Москва;ЖК «Мещерский лес»;2.0;Нет;Панельный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;6440000;Красногорск;ЖК «Путилково»;2.0;Нет;Панельный;1.0;Отсутсвует;1.25
3.0;Неизвестно;11835760;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5
2.0;Неизвестно;8316000;Красногорский;ЖК «Митино парк»;2.0;Балкон;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;8136800;Красногорский;ЖК «Митино парк»;2.0;Балкон;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;8165170;Красногорский;ЖК «Митино парк»;2.0;Балкон;Монолитный;0.0;Отсутсвует;0.5
1.0;Неизвестно;6468870;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;8085000;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
1.0;Неизвестно;6315420;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;8347140;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5
1.0;Неизвестно;6279350;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
0.0;Неизвестно;4542300;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
0.0;Неизвестно;4470900;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;8307750;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5
1.0;Неизвестно;4848000;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Панельный;0.0;Отсутсвует;5.0
2.0;Неизвестно;6038480;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Панельный;2.0;Отсутсвует;5.0
2.0;Неизвестно;5862720;Москва;ЖК «Мякинино парк»;2.0;Нет;Панельный;0.0;Отсутсвует;1.25
2.0;Неизвестно;5567220;Москва;ЖК «Мякинино парк»;2.0;Нет;Панельный;0.0;Отсутсвует;1.25
1.0;подземная;9273600;Москва;ЖК «Фонвизинский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.3332
3.0;Неизвестно;8146060;Москва;ЖК «Мякинино парк»;2.0;Нет;Панельный;2.0;Отсутсвует;1.25
2.0;Неизвестно;6296808;Красногорск;ЖК «Путилково»;2.0;Нет;Панельный;2.0;Отсутсвует;1.25
1.0;Неизвестно;4251366;Красногорск;ЖК «Путилково»;2.0;Нет;Панельный;0.0;Отсутсвует;1.25
2.0;Неизвестно;11007980;Москва;ЖК «Римского-Корсакова 11»;2.0;Нет;Панельный;2.0;Отсутсвует;0.75
1.0;Неизвестно;8112230;Москва;ЖК «Римского-Корсакова 11»;1.0;Нет;Панельный;0.0;Отсутсвует;0.75
1.0;Неизвестно;6209400;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;0.0;Отсутсвует;0.9163
2.0;Неизвестно;7552160;Москва;ЖК «Саларьево парк»;2.0;Балкон;Панельный;2.0;Отсутсвует;0.9996
2.0;Неизвестно;7302780;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;1.0;Отсутсвует;0.9996
2.0;Неизвестно;10889600;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
1.0;Неизвестно;8148820;Красногорский;ЖК «Митино парк»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;9612300;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5
0.0;Неизвестно;4110750;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;0.0;Отсутсвует;0.9996
2.0;Неизвестно;7611240;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;2.0;Отсутсвует;0.9996
1.0;Неизвестно;5729100;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;0.0;Отсутсвует;0.9996
2.0;Неизвестно;6405500;Красногорск;ЖК «Путилково»;2.0;Нет;Панельный;1.0;Отсутсвует;1.25
2.0;Неизвестно;7302260;Москва;ЖК «Саларьево парк»;2.0;Нет;Панельный;2.0;Отсутсвует;0.9996
